year;airport;country;city;q1;q2;q3;q4;total;is_domestic;route_type;continent;origin_airport;origin_lat;origin_lon;dest_lat;dest_lon
2023;Stockholm Arlanda;Portugal;Faro;9077.0;22157.0;24233.0;19388.0;74855;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;37.0162944;-7.935182
2023;Stockholm Arlanda;Portugal;Funchal;5627.0;1060.0;;6361.0;13048;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;32.6496497;-16.9086783
2023;Stockholm Arlanda;Portugal;Lisbon;25926.0;35430.0;42689.0;28671.0;132716;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.7077507;-9.1365919
2023;Stockholm Arlanda;Portugal;Porto;;2895.0;9440.0;5951.0;18286;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.1502195;-8.6103497
2023;Stockholm Arlanda;Puerto Rico;Carolina;;;;98.0;98;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;18.3640599;-65.9526682
2023;Stockholm Arlanda;Qatar;Doha;54882.0;51519.0;60024.0;60029.0;226454;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;25.3108807;51.5081812
2023;Stockholm Arlanda;Romania;Bucharest;75.0;;;;75;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;44.4361414;26.102684
2023;Stockholm Arlanda;Serbia;Belgrade;10150.0;17956.0;19293.0;19499.0;66898;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;44.8153318;20.4456588
2023;Stockholm Arlanda;Serbia;Nis;7266.0;8314.0;8323.0;3539.0;27442;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;43.3162736;21.9212335
2023;Stockholm Arlanda;Slovakia;Bratislava;35.0;;;;35;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;48.1516988;17.1093063
2023;Stockholm Arlanda;Slovenia;Ljubljana;66.0;6.0;;;72;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;46.0500268;14.5069289
2023;Stockholm Arlanda;Spain;Alicante;57580.0;107481.0;132493.0;84963.0;382517;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.3436365;-0.4881708
2023;Stockholm Arlanda;Spain;Barcelona;65428.0;91359.0;104871.0;80704.0;342362;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.3825802;2.177073
2023;Stockholm Arlanda;Spain;Fuerteventura;10850.0;5854.0;3701.0;6366.0;26771;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;28.4003769;-14.0048697
2023;Stockholm Arlanda;Spain;Gran Canaria;93987.0;29224.0;22085.0;80299.0;225595;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;27.9580004;-15.6062305
2023;Stockholm Arlanda;Spain;Ibiza;;378.0;3486.0;;3864;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.9743901;1.4197463
2023;Stockholm Arlanda;Spain;Lanzarote;8548.0;1112.0;;5820.0;15480;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;29.0397081;-13.6362916
2023;Stockholm Arlanda;Spain;Madrid;28366.0;35912.0;46472.0;39149.0;149899;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;40.416782;-3.703507
2023;Stockholm Arlanda;Spain;Malaga;95144.0;138551.0;165586.0;129683.0;528964;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;36.7647913;-4.4422005
2023;Stockholm Arlanda;Spain;Palma;12765.0;98610.0;134286.0;37809.0;283470;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;39.5695818;2.6500745
2023;Stockholm Arlanda;Spain;Tenerife;38537.0;10826.0;3657.0;31937.0;84957;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;28.2935785;-16.6214471
2023;Stockholm Arlanda;Spain;Valencia;7635.0;9233.0;9602.0;3674.0;30144;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;39.4697065;-0.3763353
2023;Stockholm Arlanda;Sweden;Arvidsjaur;2549.0;530.0;376.0;4534.0;7989;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;65.666667;19.25
2023;Stockholm Arlanda;Sweden;Gällivare;15102.0;11282.0;11236.0;10069.0;47689;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;67.3;20.25
2023;Stockholm Arlanda;Sweden;Göteborg;119969.0;147916.0;117963.0;121724.0;507572;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;57.7072326;11.9670171
2023;Stockholm Arlanda;Sweden;Hagfors;;;11.0;31.0;42;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;60.0297519;13.6518574
2023;Stockholm Arlanda;Sweden;Halmstad;22.0;51.0;;;73;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;56.6739826;12.8574827
2023;Stockholm Arlanda;Sweden;Hemavan;6503.0;6217.0;5283.0;4116.0;22119;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;65.8152777;15.08528
2023;Stockholm Arlanda;Sweden;Kalmar;15361.0;17445.0;4081.0;;36887;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;56.6628826;16.3662382
2023;Stockholm Arlanda;Sweden;Kiruna;68818.0;44058.0;54326.0;46396.0;213598;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;67.8496111;20.30625
